Rank,Company Name,Country,"Revenues
($millions)","Profits
($millions)","Assets
($millions)","Market Value 
As of 3/29/18 ($m)"
959,Towngas,Hong Kong,"$4,200.00","$1,100.00","$16,800.00","$30,000.00"
960,Crown Castle International,United States,"$4,600.00",$439.00,"$32,300.00","$43,000.00"
961,TDK,Japan,"$11,500.00",$573.00,"$17,900.00","$11,900.00"
962,Bank of Ireland,Ireland,"$4,000.00",$722.00,"$147,200.00","$9,700.00"
963,L3 Technologies,United States,"$10,300.00",$717.00,"$12,900.00","$15,400.00"
964,Snam,Italy,"$2,800.00","$1,000.00","$26,700.00","$15,600.00"
965,Boston Scientific,United States,"$9,300.00",$112.00,"$19,200.00","$41,400.00"
966,St. James's Place,United Kingdom,"$11,600.00",$188.00,"$121,600.00","$8,500.00"
967,Bunge,United States,"$45,300.00",$92.00,"$23,100.00","$10,000.00"
968,Cielo,Brazil,"$3,600.00","$1,300.00","$25,000.00","$13,700.00"
969,Franklin Resources,United States,"$6,700.00",$674.00,"$17,700.00","$18,000.00"
970,Seagate Technology,Ireland,"$10,800.00",$835.00,"$9,000.00","$16,300.00"
971,Tokyu,Japan,"$10,300.00",$633.00,"$21,300.00","$10,200.00"
972,Westfield,Australia,"$1,400.00","$1,500.00","$21,300.00","$14,200.00"
973,Guangdong Wens Foodstuffs Group,China,"$8,400.00","$1,000.00","$8,000.00","$18,100.00"
974,Voya Financial,United States,"$9,300.00",-$429.00,"$219,800.00","$8,900.00"
975,Daito Trust Construction,Japan,"$14,000.00",$792.00,"$7,900.00","$12,800.00"
976,Gap,United States,"$15,900.00",$848.00,"$8,000.00","$11,400.00"
977,China Resources Power,Hong Kong,"$9,400.00",$593.00,"$28,300.00","$9,200.00"
978,Beiersdorf,Germany,"$8,000.00",$758.00,"$9,900.00","$26,300.00"
979,Intuit,United States,"$5,400.00",$950.00,"$4,900.00","$49,700.00"
980,Zions Bancorp,United States,"$2,800.00",$688.00,"$66,500.00","$11,400.00"
981,Ceconomy,Germany,"$25,000.00","$1,100.00","$13,700.00","$3,500.00"
982,Severstal,Russia,"$8,300.00","$1,500.00","$7,100.00","$13,400.00"
983,Ameren,United States,"$6,200.00",$572.00,"$26,100.00","$13,900.00"
984,QBE Insurance Group,Australia,"$12,700.00","-$1,200.00","$44,400.00","$10,500.00"
985,Amadeus IT Group,Spain,"$5,500.00","$1,100.00","$9,500.00","$33,600.00"
986,SMC,Japan,"$5,100.00","$1,200.00","$12,100.00","$26,500.00"
987,Banque Saudi Fransi,Saudi Arabia,"$2,200.00",$944.00,"$49,100.00","$10,300.00"
988,Sumitomo Metal Mining,Japan,"$8,400.00",$827.00,"$16,000.00","$11,700.00"
989,Keurig Dr Pepper,United States,"$6,800.00","$1,100.00","$10,200.00","$21,500.00"
990,American Financial Group,United States,"$6,700.00",$467.00,"$60,700.00","$10,000.00"
991,Zoetis,United States,"$5,400.00",$978.00,"$8,700.00","$40,900.00"
992,Cencosud,Chile,"$16,100.00",$678.00,"$16,800.00","$8,100.00"
993,Finatis,France,"$43,600.00",-$66.00,"$48,200.00",$337.00
994,Roper Technologies,United States,"$4,700.00","$1,000.00","$14,100.00","$28,800.00"
995,Hershey,United States,"$7,600.00","$1,000.00","$7,300.00","$18,800.00"
996,T Rowe Price,United States,"$5,000.00","$1,500.00","$7,400.00","$28,600.00"
997,Activision Blizzard,United States,"$7,300.00",$347.00,"$18,400.00","$54,600.00"
998,Textron,United States,"$14,400.00",$395.00,"$15,000.00","$16,800.00"
999,Dassault Aviation,France,"$5,500.00",$800.00,"$18,300.00","$16,800.00"
1000,China Resources Pharmaceutical Group,Hong Kong,"$22,100.00",$447.00,"$20,600.00","$8,500.00"
1001,MediaTek,Taiwan,"$7,700.00",$677.00,"$14,200.00","$16,900.00"
1002,Shenzhen Overseas,China,"$4,300.00","$1,000.00","$38,000.00","$10,600.00"
1003,Ball,United States,"$11,300.00",$456.00,"$17,700.00","$13,500.00"
1004,Electronic Arts,United States,"$5,100.00","$1,000.00","$8,600.00","$40,700.00"
1005,Shin Kong Financial,Taiwan,"$14,800.00",$346.00,"$113,700.00","$4,200.00"
1006,Onex,Canada,"$25,300.00",-$973.00,"$44,700.00","$7,200.00"
1007,Tata Steel,India,"$19,900.00",$303.00,"$26,700.00","$10,200.00"
1008,Shimizu,Japan,"$13,700.00",$767.00,"$16,900.00","$7,900.00"
1009,Tohoku Electric Power,Japan,"$18,700.00",$426.00,"$39,700.00","$6,600.00"
1010,NEC,Japan,"$25,700.00",$414.00,"$26,500.00","$7,200.00"
1011,CGI Group,Canada,"$8,700.00",$814.00,"$9,600.00","$17,200.00"
1012,Unipol Gruppo,Italy,"$16,100.00",-$390.00,"$107,000.00","$3,700.00"
1013,Yes Bank,India,"$4,000.00",$657.00,"$47,900.00","$12,000.00"
1014,UBI Banca,Italy,"$5,300.00",$779.00,"$153,000.00","$5,800.00"
1015,Agile Property Holdings,China,"$7,700.00",$899.00,"$25,100.00","$7,900.00"
1016,Gemdale,China,"$5,300.00","$1,100.00","$35,700.00","$8,100.00"
1017,Interactive Brokers Group,United States,"$2,000.00",$98.00,"$59,100.00","$32,800.00"
1018,Amphenol,United States,"$7,300.00",$691.00,"$9,400.00","$26,500.00"
1019,Discovery Communications,United States,"$7,600.00",-$181.00,"$34,700.00","$16,800.00"
1020,Public Storage,United States,"$2,700.00","$1,400.00","$10,700.00","$36,900.00"
1021,Quanta Computer,Taiwan,"$33,600.00",$472.00,"$20,600.00","$6,900.00"
1022,Air Canada,Canada,"$13,000.00","$1,500.00","$14,700.00","$5,100.00"
1023,AvalonBay Communities,United States,"$2,200.00",$781.00,"$18,600.00","$23,000.00"
1024,HAL Trust,Monaco,"$9,100.00",$441.00,"$19,500.00","$14,800.00"
1025,AerCap Holdings,Ireland,"$5,000.00","$1,100.00","$42,500.00","$8,000.00"
1026,Pgnig Group,Poland,"$10,400.00",$800.00,"$13,900.00","$10,300.00"
1027,WW Grainger,United States,"$10,700.00",$637.00,"$5,900.00","$16,600.00"
1028,AGNC Investment,United States,"$2,200.00","$1,100.00","$69,200.00","$7,400.00"
1029,AntarChile,Chile,"$20,300.00",$399.00,"$22,700.00","$8,500.00"
1030,Kuwait Finance House,Kuwait,"$3,400.00",$627.00,"$58,000.00","$10,900.00"
1031,Concho Resources,United States,"$2,900.00","$1,100.00","$14,400.00","$22,800.00"
1032,GS Holdings,South Korea,"$14,800.00",$727.00,"$20,700.00","$5,500.00"
1033,Chongqing Changan Auto,China,"$12,000.00",$921.00,"$17,000.00","$7,200.00"
1034,Schroders,United Kingdom,"$3,300.00",$764.00,"$30,400.00","$13,200.00"
1035,Bankinter,Spain,"$2,500.00",$601.00,"$87,700.00","$9,800.00"
1036,Scor,France,"$15,900.00",$323.00,"$49,500.00","$7,600.00"
1037,JBS,Brazil,"$51,100.00",$189.00,"$32,800.00","$6,700.00"
1038,Continental Resources,United States,"$3,500.00","$1,000.00","$14,400.00","$25,400.00"
1039,JSW Steel,India,"$10,100.00",$650.00,"$14,100.00","$11,600.00"
1040,Japan Exchange Group,Japan,"$1,100.00",$456.00,"$388,500.00","$10,200.00"
1041,Metro Group,Germany,"$41,900.00",$488.00,"$19,100.00","$5,100.00"
1042,Guosen Securities,China,"$1,400.00",$645.00,"$32,600.00","$14,000.00"
1043,Whirlpool,United States,"$21,400.00",$291.00,"$20,300.00","$11,000.00"
1044,Kingfisher,United Kingdom,"$15,200.00",$631.00,"$14,700.00","$8,700.00"
1045,Cincinnati Financial,United States,"$5,400.00",$813.00,"$21,500.00","$11,800.00"
1046,DaVita,United States,"$13,400.00",$395.00,"$18,900.00","$11,600.00"
1047,CDW,United States,"$15,500.00",$592.00,"$7,000.00","$11,900.00"
1048,Bank Of Hangzhou,China,"$5,400.00",$673.00,"$128,000.00","$6,700.00"
1049,Kobe Steel,Japan,"$17,000.00",$570.00,"$22,100.00","$3,900.00"
1050,General Growth Properties,United States,"$2,400.00",$614.00,"$23,300.00","$19,800.00"
1051,Angang Steel,China,"$12,900.00",$930.00,"$14,600.00","$7,400.00"
1052,Leucadia National,United States,"$12,200.00",$15.00,"$49,000.00","$8,500.00"
1053,Pembina Pipeline,Canada,"$4,500.00",$784.00,"$20,100.00","$17,400.00"
1054,WR Berkley,United States,"$7,700.00",$592.00,"$24,600.00","$9,400.00"
1055,Tenaris,Luxembourg,"$6,000.00",$566.00,"$14,700.00","$23,000.00"
1056,KT Corp,South Korea,"$21,100.00",$426.00,"$28,600.00","$6,300.00"
1057,Conagra Brands,United States,"$7,800.00",$890.00,"$10,500.00","$14,900.00"
1058,Expedia Group,United States,"$10,400.00",$327.00,"$20,400.00","$17,100.00"
1059,Inner Mongolia Baotou Steel,China,"$8,400.00",$377.00,"$23,300.00","$14,500.00"
1060,TCL Corp,China,"$16,800.00",$445.00,"$25,900.00","$7,000.00"
1061,CMS Energy,United States,"$6,700.00",$502.00,"$22,900.00","$12,800.00"
1062,Dexia,Belgium,"$11,100.00",-$521.00,"$217,300.00",$16.00
1063,Legrand,France,"$6,200.00",$802.00,"$11,300.00","$21,100.00"
1064,GKN,United Kingdom,"$12,500.00",$648.00,"$12,000.00","$11,100.00"
1065,Cosmo Energy Holdings,Japan,"$22,800.00",$657.00,"$15,900.00","$2,900.00"
1066,Intact Financial,Canada,"$7,200.00",$610.00,"$21,600.00","$10,400.00"
1067,CJ Corporation,South Korea,"$23,800.00",$410.00,"$27,400.00","$4,500.00"
1068,Shanghai Construction,China,"$21,900.00",$395.00,"$30,300.00","$5,100.00"
1069,MTN Group,South Africa,"$10,000.00",$332.00,"$19,600.00","$18,400.00"
1070,Investec,United Kingdom,"$5,400.00",$616.00,"$69,500.00","$7,500.00"
1071,Zhejiang Zheneng Electric Power,China,"$8,000.00",$599.00,"$17,800.00","$11,000.00"
1072,BDO Unibank,Philippines,"$3,000.00",$554.00,"$53,600.00","$11,100.00"
1073,Grupo Inbursa,Mexico,"$4,500.00",$979.00,"$28,700.00","$10,400.00"
1074,Lonza Group,Switzerland,"$5,200.00",$740.00,"$14,600.00","$19,700.00"
1075,Torchmark,United States,"$4,200.00","$1,500.00","$23,200.00","$9,700.00"
1076,Grasim Industries,India,"$7,500.00",$420.00,"$31,600.00","$10,700.00"
1077,Campbell Soup,United States,"$7,900.00","$1,100.00","$8,300.00","$12,200.00"
1078,Krung Thai Bank,Thailand,"$4,800.00",$626.00,"$92,300.00","$7,600.00"
1079,Renesas Electronics,Japan,"$7,100.00",$827.00,"$9,600.00","$16,700.00"
1080,Lenovo Group,Hong Kong,"$44,300.00",-$116.00,"$29,500.00","$5,800.00"
1081,L Brands,United States,"$12,600.00",$983.00,"$8,100.00","$9,000.00"
1082,Ventas,United States,"$3,600.00",$563.00,"$23,500.00","$19,100.00"
1083,Advanced Semiconductor,Taiwan,"$9,600.00",$751.00,"$12,200.00","$11,200.00"
1084,GD Power Development,China,"$9,100.00",$363.00,"$44,400.00","$8,900.00"
1085,C.H. Robinson,United States,"$15,400.00",$525.00,"$4,300.00","$12,000.00"
1086,Arthur J. Gallagher,United States,"$6,500.00",$681.00,"$16,100.00","$12,500.00"
1087,Sojitz,Japan,"$16,400.00",$513.00,"$22,100.00","$4,800.00"
1088,Korean Air,South Korea,"$10,700.00",$700.00,"$23,000.00","$3,100.00"
1089,Steel Dynamics,United States,"$9,800.00",$840.00,"$7,000.00","$11,400.00"
1090,Jiangsu Yanghe Brewery,China,"$2,900.00","$1,100.00","$7,100.00","$30,900.00"
1091,Universal Health,United States,"$10,500.00",$770.00,"$11,000.00","$11,200.00"
1092,Guangzhou Rural Commercial Bank,China,"$4,600.00",$846.00,"$95,100.00","$6,600.00"
1093,Pegatron,Taiwan,"$39,200.00",$483.00,"$16,400.00","$5,900.00"
1094,RiseSun Real Estate Development,China,"$5,900.00",$891.00,"$31,400.00","$7,200.00"
1095,Helvetia Holding,Switzerland,"$9,800.00",$412.00,"$60,000.00","$5,900.00"
1096,Moody's,United States,"$4,400.00","$1,000.00","$9,000.00","$33,400.00"
1097,Celanese,United States,"$6,500.00","$1,000.00","$9,800.00","$14,700.00"
1098,UC Rusal,Cyprus,"$10,000.00","$1,200.00","$16,000.00","$3,900.00"
1099,Newmont Mining,United States,"$7,500.00",$48.00,"$20,500.00","$21,500.00"
1100,Carlsberg,Denmark,"$9,400.00",$191.00,"$18,800.00","$17,400.00"
1101,Kerry Group,Ireland,"$7,200.00",$664.00,"$8,900.00","$18,700.00"
1102,Concordia Financial Group,Japan,"$2,900.00",$599.00,"$175,500.00","$7,300.00"
1103,Markel,United States,"$6,300.00",$248.00,"$32,900.00","$16,100.00"
1104,Symantec,United States,"$4,800.00","$1,200.00","$15,800.00","$12,100.00"
1105,Aeroports de Paris,France,"$4,100.00",$644.00,"$17,100.00","$21,800.00"
1106,Bank Pekao,Poland,"$2,300.00",$656.00,"$53,400.00","$8,800.00"
1107,Intuitive Surgical,United States,"$3,300.00",$768.00,"$6,400.00","$53,100.00"
1108,Hainan Airlines,China,"$9,400.00",$583.00,"$29,600.00",-
1109,BAIC Motor,China,"$19,900.00",$334.00,"$25,700.00","$7,800.00"
1110,Quest Diagnostics,United States,"$7,700.00",$782.00,"$10,700.00","$13,900.00"
1111,KPN,Netherlands,"$7,300.00",$545.00,"$16,200.00","$12,700.00"
1112,Aramark,United States,"$15,200.00",$498.00,"$13,700.00","$9,400.00"
1113,Arch Capital Group,Bermuda,"$5,400.00",$507.00,"$32,100.00","$10,800.00"
1114,DSV,Denmark,"$11,800.00",$484.00,"$6,400.00","$14,900.00"
1115,Hankyu Hanshin Holdings,Japan,"$6,600.00",$635.00,"$21,200.00","$9,700.00"
1116,AU Optronics,Taiwan,"$11,200.00","$1,100.00","$14,800.00","$4,100.00"
1117,Origin Energy,Australia,"$11,400.00",-$757.00,"$19,900.00","$13,100.00"
1118,Tokyo Century,Japan,"$9,100.00",$463.00,"$35,400.00","$7,200.00"
1119,Singapore Airlines,Singapore,"$11,200.00",$415.00,"$20,100.00","$9,900.00"
1120,Eletrobrás,Brazil,"$11,900.00",-$553.00,"$52,100.00","$7,100.00"
1121,Dubai Islamic Bank,United Arab Emirates,"$2,800.00","$1,100.00","$57,500.00","$6,600.00"
1122,Grifols,Spain,"$5,000.00",$785.00,"$13,400.00","$18,700.00"
1123,Arab National Bank,Saudi Arabia,"$2,100.00",$807.00,"$45,800.00","$8,000.00"
1124,Attijariwafa Bank,Morocco,"$3,700.00",$555.00,"$50,900.00","$10,000.00"
1125,Thai Beverage,Thailand,"$5,600.00",$874.00,"$12,600.00","$15,200.00"
1126,Qantas Airways,Australia,"$12,500.00",$724.00,"$14,000.00","$7,700.00"
1127,XPO Logistics,United States,"$16,000.00",$363.00,"$13,000.00","$13,200.00"
1128,Air France-KLM,France,"$29,100.00",-$309.00,"$29,300.00","$3,800.00"
1129,Saputo,Canada,"$8,900.00",$683.00,"$6,400.00","$13,000.00"
1130,BCI-Banco Credito,Chile,"$3,200.00",$572.00,"$55,100.00","$9,200.00"
1131,Sika,Switzerland,"$6,300.00",$654.00,"$5,900.00","$20,600.00"
1132,Mondi,United Kingdom,"$8,000.00",$757.00,"$8,700.00","$13,100.00"
1133,Mitsubishi UFJ Lease,Japan,"$7,700.00",$489.00,"$49,400.00","$6,100.00"
1134,Korea Gas,South Korea,"$19,600.00","-$1,100.00","$34,700.00","$4,600.00"
1135,Bombardier,Canada,"$16,700.00",-$461.00,"$26,700.00","$7,800.00"
1136,Brighthouse Financial,United States,"$8,400.00",-$96.00,"$219,000.00","$5,800.00"
1137,Cheniere Energy,United States,"$6,700.00",-$90.00,"$28,300.00","$15,200.00"
1138,Hyundai Marine & Fire,South Korea,"$11,700.00",$411.00,"$36,900.00","$3,200.00"
1139,Power Assets Holdings,Hong Kong,$182.00,"$1,100.00","$13,700.00","$16,100.00"
1140,Yara International,Norway,"$11,500.00",$390.00,"$16,700.00","$11,400.00"
1141,Datang International Power,China,"$9,900.00",$245.00,"$40,000.00","$8,600.00"
1142,AES,United States,"$12,500.00",$158.00,"$32,600.00","$8,100.00"
1143,Cintas,United States,"$6,300.00",$660.00,"$6,900.00","$19,600.00"
1144,Ajinomoto,Japan,"$10,400.00",$551.00,"$13,400.00","$10,400.00"
1145,RTL Group,Luxembourg,"$7,200.00",$834.00,"$9,600.00","$13,000.00"
1146,NRG Energy,United States,"$10,600.00","-$1,700.00","$23,800.00","$11,000.00"
1147,Arca Continental,Mexico,"$8,100.00",$685.00,"$12,600.00","$11,200.00"
1148,Lixil Group,Japan,"$15,400.00",$493.00,"$19,800.00","$6,600.00"
1149,Nitto Denko,Japan,"$7,700.00",$788.00,"$8,800.00","$12,300.00"
1150,Sino-Ocean Land Holdings,China,"$6,900.00",$757.00,"$29,500.00","$5,400.00"
1151,Terumo,Japan,"$5,300.00",$824.00,"$9,600.00","$20,100.00"
1152,Magnit,Russia,"$19,600.00",$608.00,"$9,200.00","$8,100.00"
1153,Liberty Broadband,United States,$22.00,"$2,000.00","$12,000.00","$12,800.00"
1154,Harbin Bank,China,"$4,400.00",$777.00,"$86,600.00","$3,000.00"
1155,First Financial Holding,Taiwan,"$2,500.00",$509.00,"$88,500.00","$8,500.00"
1156,Cerner,United States,"$5,200.00",$854.00,"$6,500.00","$20,200.00"
1157,China Molybdenum,China,"$3,800.00",$564.00,"$15,600.00","$25,600.00"
1158,Jeronimo Martins,Portugal,"$19,600.00",$459.00,"$7,700.00","$10,300.00"
1159,Boston Properties,United States,"$2,600.00",$541.00,"$19,600.00","$19,200.00"
1160,SGS,Switzerland,"$6,500.00",$631.00,"$6,100.00","$19,000.00"
1161,Amcor,Australia,"$9,100.00",$640.00,"$9,100.00","$12,100.00"
1162,J.B. Hunt Transport Services,United States,"$7,500.00",$702.00,"$4,400.00","$13,700.00"
1163,President Chain Store,Taiwan,"$7,600.00","$1,000.00","$4,700.00","$10,600.00"
1164,Vienna Insurance Group,Austria,"$11,200.00",$322.00,"$61,200.00","$4,100.00"
1165,Dover,United States,"$7,900.00",$771.00,"$10,500.00","$11,900.00"
1166,Hoya,Japan,"$4,800.00",$898.00,"$6,100.00","$21,600.00"
1167,Foncière des Régions,France,"$1,100.00","$1,000.00","$26,200.00","$8,600.00"
1168,Metro,Canada,"$10,400.00","$1,300.00","$6,700.00","$7,300.00"
1169,China Shipbuilding Industry,China,"$5,100.00",$126.00,"$32,000.00","$18,600.00"
1170,Samsung SDI,South Korea,"$6,200.00",$632.00,"$15,300.00","$11,900.00"
1171,Clorox,United States,"$6,100.00",$807.00,"$5,400.00","$15,600.00"
1172,AGL Energy,Australia,"$10,000.00",$641.00,"$11,200.00","$10,900.00"
1173,Inter Rao,Russia,"$15,700.00",$923.00,"$10,900.00","$6,700.00"
1174,Beijing Enterprises,Hong Kong,"$7,400.00",$883.00,"$21,900.00","$6,600.00"
1175,Monster Beverage,United States,"$3,500.00",$859.00,"$4,700.00","$27,700.00"
1176,Flextronics International,Singapore,"$25,400.00",$429.00,"$13,700.00","$7,800.00"
1177,Fidelity National Financial,United States,"$8,800.00",$796.00,"$9,000.00","$10,500.00"
1178,Evraz Group,United Kingdom,"$10,800.00",$686.00,"$10,400.00","$10,000.00"
1179,Orient Securities,China,"$1,400.00",$472.00,"$35,800.00","$12,200.00"
1180,Industrial Alliance Insurance,Canada,"$8,200.00",$436.00,"$48,400.00","$4,500.00"
1181,Meiji Holdings,Japan,"$11,200.00",$553.00,"$8,700.00","$11,500.00"
1182,Hyundai Heavy Industries,South Korea,"$12,300.00",-$554.00,"$28,400.00","$8,300.00"
1183,Cosco Shipping,China,"$13,900.00",$380.00,"$20,600.00","$8,000.00"
1184,Punjab National Bank,India,"$8,500.00",$177.00,"$112,900.00","$3,600.00"
1185,Arrow Electronics,United States,"$27,900.00",$427.00,"$16,100.00","$6,700.00"
1186,Hindalco Industries,India,"$14,900.00",$283.00,"$23,700.00","$8,100.00"
1187,Norwegian Cruise Line Holdings,United States,"$5,500.00",$801.00,"$14,500.00","$11,600.00"
1188,Ternium,Luxembourg,"$9,700.00",$905.00,"$12,400.00","$7,800.00"
1189,Terna,Italy,"$2,500.00",$776.00,"$20,400.00","$11,700.00"
1190,Oriental Land,Japan,"$4,300.00",$733.00,"$8,600.00","$34,200.00"
1191,Harris,United States,"$6,100.00",$639.00,"$10,100.00","$18,600.00"
1192,Ashtead Group,United Kingdom,"$4,700.00","$1,300.00","$9,000.00","$14,800.00"
1193,FamilyMart,Japan,"$11,400.00",$295.00,"$16,200.00","$12,700.00"
1194,Wm Morrison Supermarkets,United Kingdom,"$22,400.00",$404.00,"$13,700.00","$8,100.00"
1195,KION Group,Germany,"$9,000.00",$527.00,"$14,200.00","$10,200.00"
1196,Coty,United States,"$9,300.00",-$292.00,"$23,800.00","$10,700.00"
1197,Lendlease Group,Australia,"$13,300.00",$605.00,"$12,400.00","$7,900.00"
1198,Arkema,France,"$9,400.00",$650.00,"$11,600.00","$10,000.00"
1199,Givaudan,Switzerland,"$5,100.00",$732.00,"$7,500.00","$21,100.00"
1200,Paychex,United States,"$3,300.00",$901.00,"$6,800.00","$22,800.00"
1201,Focus Media Information Technology,China,"$1,800.00",$921.00,"$2,500.00","$22,200.00"
1202,Innolux,Taiwan,"$10,300.00",$937.00,"$13,900.00","$3,900.00"
1203,Materials Industry Zhongda Group,China,"$41,100.00",$403.00,"$15,300.00","$4,400.00"
1204,NASDAQ,United States,"$4,100.00",$741.00,"$15,800.00","$15,100.00"
1205,Ricoh,Japan,"$18,600.00","-$1,200.00","$24,800.00","$6,900.00"
1206,RSA Insurance Group,United Kingdom,"$9,200.00",$372.00,"$24,800.00","$9,100.00"
1207,PVH,United States,"$8,900.00",$538.00,"$11,900.00","$11,800.00"
1208,East West Bancorp,United States,"$1,600.00",$523.00,"$37,700.00","$10,100.00"
1209,National Oilwell Varco,United States,"$7,400.00",-$183.00,"$20,000.00","$15,500.00"
1210,Top Frontier Investment Holdings,Philippines,"$16,400.00",$244.00,"$30,000.00","$1,700.00"
1211,Ihs Markit,United Kingdom,"$3,700.00",$592.00,"$14,700.00","$20,400.00"
1212,Hesteel,China,"$15,900.00",$233.00,"$30,600.00","$5,500.00"
1213,Electric Power Development,Japan,"$7,700.00",$618.00,"$24,900.00","$5,100.00"
1214,Magnitogorsk Iron & Steel,Russia,"$7,900.00","$1,200.00","$7,900.00","$8,300.00"
1215,Koito Manufacturing,Japan,"$7,700.00",$753.00,"$6,300.00","$11,300.00"
1216,Ayala,Philippines,"$4,800.00",$600.00,"$20,500.00","$11,500.00"
1217,Wynn Resorts,United States,"$6,500.00",$442.00,"$12,200.00","$21,200.00"
1218,Bank of Baroda,India,"$7,800.00",$271.00,"$110,800.00","$5,600.00"
1219,Brown-Forman,United States,"$3,200.00",$751.00,"$5,000.00","$27,300.00"
1220,Worldpay,United States,"$3,900.00",$4.00,"$29,000.00","$24,000.00"
1221,Bank of Tianjin,China,"$4,400.00",$576.00,"$107,800.00","$3,600.00"
1222,Yuanta Financial Holding,Taiwan,"$4,400.00",$641.00,"$78,700.00","$5,700.00"
1223,UCB,Belgium,"$5,100.00",$849.00,"$11,900.00","$14,200.00"
1224,E-mart,South Korea,"$14,000.00",$542.00,"$15,000.00","$6,800.00"
1225,Shiseido,Japan,"$9,400.00",$339.00,"$8,500.00","$26,300.00"
1226,X5 Retail Group,Netherlands,"$23,200.00",$492.00,"$9,600.00","$7,900.00"
1227,SKF Group,Sweden,"$9,500.00",$694.00,"$10,300.00","$9,700.00"
1228,Yum China Holdings,United States,"$8,100.00",$516.00,"$4,900.00","$14,500.00"
1229,Phoenix Group Holdings,United Kingdom,"$7,800.00",-$35.00,"$100,200.00","$4,200.00"
1230,Samsung SDS,South Korea,"$8,200.00",$469.00,"$6,800.00","$16,200.00"
1231,Equity Residential,United States,"$2,500.00",$409.00,"$20,400.00","$23,000.00"
1232,Hna Technology,China,"$48,100.00",$118.00,"$17,900.00",-
1233,Lotte Shopping,South Korea,"$18,600.00",-$132.00,"$26,100.00","$6,300.00"
1234,Alexion Pharmaceuticals,United States,"$3,600.00",$522.00,"$13,800.00","$26,600.00"
1235,China Gas Holdings,Hong Kong,"$5,100.00",$752.00,"$8,900.00","$18,600.00"
1236,Antofagasta,United Kingdom,"$4,700.00",$747.00,"$14,200.00","$14,000.00"
1237,Airports of Thailand,Thailand,"$1,700.00",$645.00,"$5,500.00","$32,000.00"
1238,Hess,United States,"$5,600.00","-$3,900.00","$22,100.00","$19,300.00"
1239,Host Hotels & Resorts,United States,"$5,400.00",$659.00,"$12,100.00","$15,400.00"
1240,Sun Art Retail Group,Hong Kong,"$15,100.00",$411.00,"$9,200.00","$11,200.00"
1241,Waste Connections,Canada,"$4,700.00",$685.00,"$12,000.00","$19,900.00"
1242,Penske Automotive,United States,"$22,100.00",$639.00,"$10,800.00","$4,000.00"
1243,Advanced Info Service,Thailand,"$4,600.00",$886.00,"$8,700.00","$18,400.00"
1244,Johnson Matthey,United Kingdom,"$16,300.00",$478.00,"$6,100.00","$9,100.00"
1245,Experian,Ireland,"$4,300.00",$821.00,"$7,600.00","$21,600.00"
1246,Industries Qatar,Qatar,"$1,300.00","$1,000.00","$9,200.00","$18,300.00"
1247,LG Household & Health Care,South Korea,"$5,700.00",$561.00,"$4,600.00","$20,600.00"
1248,Ooredoo Telecom,Qatar,"$8,900.00",$513.00,"$24,200.00","$6,000.00"
1249,Jiangxi Copper,China,"$31,700.00",$279.00,"$15,000.00","$7,800.00"
1250,Illumina,United States,"$2,900.00",$567.00,"$5,500.00","$39,200.00"
1251,Wanhua Chemical Group,China,"$8,300.00","$1,900.00","$10,600.00",-
1252,3i Group,United Kingdom,$353.00,"$1,500.00","$9,600.00","$12,900.00"
1253,E.Sun Financial,Taiwan,"$1,900.00",$527.00,"$72,800.00","$7,200.00"
1254,Electrolux Group,Sweden,"$14,500.00",$625.00,"$10,700.00","$7,600.00"
1255,Hexagon,Sweden,"$4,100.00",$852.00,"$10,500.00","$19,900.00"
1256,Taiwan Cooperative Financial,Taiwan,"$3,000.00",$471.00,"$114,600.00","$7,100.00"
1257,Aroundtown Property Holdings,Luxembourg,$594.00,"$1,400.00","$16,500.00","$8,600.00"
1258,Bank of Zhengzhou,China,"$3,000.00",$633.00,"$66,900.00","$2,600.00"
1259,Kerry Properties,Hong Kong,"$4,700.00","$1,200.00","$22,200.00","$7,100.00"
1260,Dassault Systemes,France,"$3,600.00",$586.00,"$8,400.00","$34,600.00"
1261,Charoen Pokphand Foods,Thailand,"$14,800.00",$436.00,"$18,200.00","$6,300.00"
1262,FleetCor Technologies,United States,"$2,300.00",$791.00,"$11,700.00","$18,200.00"
1263,Doosan,South Korea,"$15,500.00",$34.00,"$26,900.00","$2,200.00"
1264,Banca MPS,Italy,"$6,500.00","-$4,000.00","$167,300.00","$4,200.00"
1265,Equinix,United States,"$4,600.00",$254.00,"$19,900.00","$31,900.00"
1266,Alcoa,United States,"$12,200.00",$142.00,"$17,100.00","$10,100.00"
1267,Hunan Valin Steel,China,"$11,800.00",$807.00,"$12,100.00","$3,900.00"
1268,Petronas Chemicals,Malaysia,"$4,000.00",$972.00,"$8,900.00","$17,100.00"
1269,Zhongyuan Bank,China,"$3,200.00",$569.00,"$80,200.00","$6,300.00"
1270,Tenet Healthcare,United States,"$19,100.00",-$552.00,"$23,200.00","$3,300.00"
1271,Canara Bank,India,"$7,400.00",$203.00,"$91,800.00","$2,700.00"
1272,China Life Insurance (Taiwan),Taiwan,"$9,500.00",$299.00,"$49,300.00","$4,000.00"
1273,US Foods,United States,"$24,200.00",$484.00,"$9,200.00","$7,400.00"
1274,Goldcorp,Canada,"$3,400.00",$556.00,"$21,600.00","$12,000.00"
1275,Henry Schein,United States,"$12,800.00",$423.00,"$7,900.00","$11,200.00"
